genome start end	
2524614877 2526129808 2526132204
2770939502 2771554599 2771557235
2634166254 2634932778 2634937944
2636415411 2636461405 2636463570
2663763013 2665304369 2665306563
2671181034 2675215192 2675217261
2537561793 2538645508 2538647679
2671180919 2674741817 2674743935
2721755840 2724177052 2724179148
2667527784 2669470407 2669472470
2663762953 2665071344 2665073412
2663763394 2666847367 2666849507
2700989205 2701707801 2701709883
2703718982 2705236053 2705238048
2545824639 2546232977 2546234986
2690316258 2692915206 2692917211
2654587821 2655908282 2655910498
2531839393 2533362695 2533364805
2684622660 2685270965 2685273202
2700989502 2702953362 2702955450
2548876580 2549109582 2549111418
2724679335 2726437611 2726439780
2548876882 2550235274 2550237543
2534682098 2536587930 2536589908
2728368960 2728602872 2728605032
2534681670 2534968955 2534971437
2671180239 2671952886 2671954926
2706794627 2707714875 2707717063
2724679168 2725719462 2725721472
2718218047 2719877009 2719879061
2558860335 2559553277 2559555213
2667528075 2670687764 2670689824
2548876886 2550244267 2550246256
2541047529 2543346770 2543348610
2534682045 2536416654 2536418832
2660238723 2663529255 2663532040
2558860380 2559685091 2559686873
2671180243 2671968917 2671971232
2706794420 2706835420 2706837607
2675903311 2677449870 2677451949
2597489962 2598123855 2598126289
2698536619 2699815860 2699817982
2534682068 2536488726 2536490886
2531839220 2532686610 2532688787
2529293054 2531032098 2531034035
2681813441 2684151690 2684153778
2534681966 2536156842 2536159135
2667527896 2669923507 2669925713
2657244970 2657574462 2657576624
2724679494 2727035117 2727037297
2534682149 2536748890 2536750998
2548876879 2550228552 2550230804
2728368948 2728577334 2728579354
2671180961 2674916368 2674918562
2703718720 2704146413 2704148446
2531839227 2532707798 2532710094
2548876587 2549122883 2549125052
2671180720 2673926838 2673928898
2529293134 2531320609 2531322818
2718217802 2718891266 2718893300
2529293232 2531683536 2531685605
2531839117 2532296983 2532299292
2671180638 2673588440 2673590346
2558860333 2559549312 2559551281
2602041847 2603023715 2603025901
2541047107 2541864478 2541866396
2698536630 2699860902 2699862932
2663762898 2664860551 2664862764
2531839213 2532669603 2532671785
2671180745 2674022266 2674024262
2660237984 2660561679 2660564410
2663763304 2666490249 2666492409
2531839198 2532606819 2532609129
2684623060 2686635601 2686637623
2660238137 2661175331 2661177578
2563366754 2563933218 2563935450
2703719433 2706745246 2706747386
2636415454 2636644120 2636646422
2713897034 2715262445 2715264623
2540341027 2540412069 2540414385
2548876635 2549220719 2549222957
2531839167 2532488176 2532490442
2531839562 2533990271 2533992702
2671180467 2672897280 2672899305
2548876898 2550269752 2550272080
2667527821 2669616868 2669619069
2548876559 2549071175 2549072972
2660238177 2661315946 2661317927
2531839512 2533815792 2533818041
2713897004 2715197230 2715199404
2531839175 2532505135 2532507170
2703719451 2706783420 2706785841
2531839595 2534134160 2534136632
2639762770 2640656429 2640658263
2529292875 2530340083 2530342420
2541047527 2543340919 2543343002
2698536650 2699944466 2699946492
2534682077 2536510641 2536512559
2534682118 2536650020 2536652350
2713897258 2716271876 2716274063
2700989332 2702195536 2702197473
2695420678 2697029116 2697031275
2547132414 2548639943 2548642172
2528311136 2528746634 2528748977
2558860933 2561357634 2561359619
2537562230 2540267821 2540269999
2534682153 2536757100 2536759157
2537562063 2539673768 2539675986
2706794411 2706817350 2706819329
2654588207 2657235394 2657237272
2671180277 2672101163 2672103338
2537561612 2537967137 2537969294
2537561916 2539141519 2539143905
2657245135 2658224049 2658226099
2546825503 2546834611 2546836579
2671180399 2672618586 2672620759
2690315920 2691564432 2691566427
2534682013 2536315021 2536316997
2675903502 2678209800 2678212020
2558860343 2559568858 2559570915
2534681984 2536199916 2536202105
2684622777 2685660111 2685662120
2548876562 2549076593 2549078449
2684622766 2685618578 2685620276
2667528024 2670474445 2670476635
2675903564 2678440447 2678442494
2660238163 2661270282 2661272471
2663763506 2667310990 2667313185
2698536340 2698695058 2698697461
2660238450 2662441019 2662442992
2700989221 2701774450 2701776542
2548876572 2549094859 2549096720
2548876645 2549242969 2549245387
2693429701 2694280871 2694282940
2693429576 2693745410 2693747465
2700989316 2702135844 2702137940
2667527940 2670103739 2670105805
2531839061 2532108232 2532110445
2651870309 2654357474 2654359309
2713896953 2714995653 2714997794
2537561957 2539281936 2539284246
2548876901 2550276173 2550278162
2563366592 2563675006 2563676861
2703718725 2704156571 2704158625
2529293179 2531493508 2531495643
2534682102 2536595911 2536597840
2703718734 2704174793 2704176804
2703718718 2704142331 2704144369
2648501826 2651427506 2651429428
2713897011 2715212432 2715214574
2541047110 2541870331 2541872385
2657245538 2659386396 2659388455
2531839415 2533444318 2533446497
2657245661 2659862104 2659864229
2534682226 2537035511 2537037764
2548876894 2550260755 2550263154
2671181057 2675309277 2675311434
2703718625 2703772235 2703774336
2660238376 2662150582 2662152765
2548876607 2549162129 2549164012
2728368956 2728594548 2728596728
2534682112 2536634038 2536635869
2684622748 2685537978 2685540078
2684622780 2685666213 2685668219
2671180701 2673855625 2673857648
2706794510 2707132005 2707134113
2537562030 2539568298 2539570650
2548876638 2549227315 2549229550
2537561537 2537709144 2537711233
2558860339 2559561039 2559562977
2548876592 2549132897 2549134742
2608642168 2608988678 2608990447
2630968830 2633412834 2633415175
2654588134 2657031796 2657033664
2558860319 2559521842 2559523804
2698536367 2698798090 2698800234
2534682041 2536407941 2536410266
2671180992 2675035245 2675037218
2728368964 2728611669 2728613916
2660238362 2662091465 2662093696
2681813076 2682768919 2682770958
2703719441 2706762130 2706764271
2713897269 2716296234 2716298385
2534682251 2537133280 2537135342
2675903587 2678530774 2678532834
2698536512 2699409821 2699412294
2698536627 2699849569 2699851594
2667527747 2669315759 2669317949
2684622790 2685686506 2685688579
2548876565 2549082119 2549083906
2548876616 2549179468 2549181342
2529293128 2531307485 2531309623
2703718612 2703744755 2703746912
2713896942 2714945777 2714947792
2698536545 2699534636 2699536681
2602041629 2602429115 2602431250
2548876583 2549115570 2549117426
2667528070 2670664372 2670666542
2558860312 2559507775 2559509726
2657245042 2657850556 2657852711
2687453575 2689338678 2689340606
2529293199 2531549028 2531551434
2548876573 2549096721 2549098533
2724679504 2727056866 2727059064
2703718983 2705238053 2705240078
2537561608 2537958507 2537960866
2675903687 2678927317 2678929355
2660238344 2661999256 2662001261
2703718740 2704186906 2704188921
2531839166 2532486105 2532488175
2671180779 2674147745 2674149957
2660238502 2662647376 2662649529
2724679330 2726427269 2726429387
2537561803 2538684429 2538686790
2529292943 2530616564 2530618557
2657245511 2659276860 2659278887
2687453350 2688420397 2688422152
2695420819 2697611076 2697613141
2548876549 2549053066 2549054828
2529293235 2531689798 2531691753
2690315753 2690976103 2690978172
2548876881 2550233019 2550235273
2531839340 2533134710 2533136843
2534682280 2537230200 2537232334
2534682322 2537370495 2537372689
2648501478 2650072091 2650074197
2703718721 2704148447 2704150438
2706794418 2706831284 2706833497
2602041591 2602324794 2602327016
2724679491 2727028535 2727030749
2606217751 2608454661 2608457033
2713897018 2715227613 2715229844
2540341026 2540409791 2540412065
2534681963 2536149971 2536152201
2548876613 2549173955 2549175750
648276741 648439473 648441689
2718218239 2720646764 2720649071
2548876641 2549234044 2549236217
2548876541 2549038187 2549040063
2654587555 2654846305 2654848139
2558860325 2559533665 2559535633
2684622787 2685680373 2685682399
2531839216 2532676222 2532678383
2663762888 2664817644 2664819716
2684622792 2685690594 2685692617
2639762860 2641024598 2641026874
2687453325 2688338278 2688340154
2541047013 2541445210 2541446920
2534682010 2536308488 2536310715
2681813338 2683828129 2683830142
2675903662 2678825770 2678827891
2541047523 2543331811 2543334075
2703719447 2706775249 2706777306
2660238033 2660754345 2660756433
2667527671 2669003714 2669005948
2529293196 2531541812 2531544210
2537561983 2539382562 2539384966
2548876629 2549207195 2549209472
2684623079 2686706571 2686708728
2534682006 2536300326 2536302464
2537562234 2540279963 2540282229
2728368952 2728585913 2728587908
2671180640 2673594118 2673596154
2660237964 2660489379 2660491330
2602041682 2602613095 2602615200
2531839171 2532496765 2532498809
2534682317 2537356123 2537358274
2675903265 2677293065 2677295146
2537561538 2537711244 2537713470
2690315946 2691643217 2691645416
2684622784 2685674343 2685676357
2531839690 2534485191 2534488118
2667527716 2669188901 2669190943
2657245515 2659295765 2659297996
2684623190 2687121630 2687123634
2667527817 2669606081 2669608177
2548876552 2549058482 2549060312
2700989191 2701661717 2701663815
2706794512 2707136268 2707138443
2681813335 2683821647 2683823797
2534681838 2535651885 2535654215
2663762922 2664947172 2664949113
2703718975 2705221392 2705223522
2667527925 2670048069 2670050006
2534682156 2536763225 2536765430
2558860379 2559683207 2559685089
2660238009 2660663335 2660665539
2534682123 2536664265 2536666836
2675903440 2677978730 2677980883
2531839057 2532101144 2532103299
2663763188 2666004195 2666006170
2671180808 2674259586 2674261789
2698536326 2698641526 2698643526
2597489961 2598121477 2598123854
2713897027 2715247109 2715249253
2690315948 2691648192 2691650280
2537561956 2539279646 2539281928
2713897020 2715231898 2715234068
2663762625 2663861734 2663863586
2548876620 2549187663 2549189476
2703718728 2704162643 2704164669
2534682014 2536317014 2536319295
2671180546 2673216837 2673219033
2548876646 2549245389 2549247608
2675903281 2677350638 2677352639
2627853928 2629532695 2629535082
2548876602 2549152348 2549154475
2724679493 2727032921 2727035116
2687453504 2689050514 2689052632
2671180010 2671202602 2671205420
2534682099 2536589930 2536591904
2531839689 2534482837 2534485188
2671180630 2673554257 2673556300
2531839520 2533834360 2533836669
2531839217 2532678390 2532680636
2558860324 2559531717 2559533662
2531839240 2532767233 2532769477
2529293237 2531693962 2531696130
2531839065 2532116460 2532118604
2706794417 2706829290 2706831282
2660237972 2660519993 2660522219
2681813072 2682760517 2682762662
2545824728 2546594772 2546596893
2546825502 2546832665 2546834594
2534682044 2536414255 2536416647
2541047526 2543338635 2543340918
2537561968 2539310907 2539312769
2534682244 2537118436 2537120480
2548876716 2549515288 2549517426
2657245597 2659614136 2659616178
2698536589 2699701002 2699703018
2667528114 2670856332 2670858342
2558860939 2561369673 2561371499
2706794504 2707119373 2707121437
2657245485 2659168318 2659170538
2695420635 2696854590 2696856603
2687453241 2688010348 2688012156
2684622788 2685682400 2685684487
2609460240 2612109554 2612111929
2531839251 2532801502 2532803590
2548876876 2550221169 2550223601
2558860940 2561371502 2561373427
2721755678 2723534394 2723536558
2671181195 2675900587 2675902732
2667527878 2669846805 2669848677
2695420661 2696959821 2696961822
2667527859 2669774138 2669776206
2548876560 2549072973 2549074778
2548876586 2549121050 2549122882
2648501778 2651224142 2651226169
2529293093 2531196032 2531198218
2703718719 2704144373 2704146412
2684622564 2684873342 2684875395
2534682152 2536755109 2536757097
2531839392 2533360537 2533362693
2531839561 2533987944 2533990256
2529292749 2529835950 2529838316
2534681726 2535223593 2535225664
2531839165 2532483584 2532486103
2558860327 2559537594 2559539575
2690315723 2690854880 2690856925
2684622765 2685616879 2685618576
2695420428 2695959182 2695961246
2531839550 2533952617 2533954780
2548876561 2549074779 2549076592
2660237915 2660293292 2660295503
2713897002 2715192819 2715195019
2703718605 2703729668 2703731790
2703718731 2704168723 2704170755
2690315758 2690990269 2690992284
2706794421 2706837608 2706839903
2602041587 2602315310 2602317443
2690316071 2692129609 2692131618
2695420614 2696758352 2696760508
2700989334 2702199569 2702201553
2713897009 2715208030 2715210224
2558860320 2559523805 2559525798
2537561769 2538564140 2538566257
2718217950 2719484954 2719486952
2531839397 2533370976 2533373154
2531839172 2532498810 2532500865
2703719430 2706738647 2706740849
2558860311 2559505775 2559507771
2558860383 2559690682 2559692590
2537561739 2538470575 2538472637
2529293055 2531034038 2531036483
2537561574 2537833129 2537835433
2660238595 2663011982 2663013994
2657245140 2658249234 2658251508
2537561984 2539384981 2539387428
2537562133 2539889330 2539891534
2537561545 2537731591 2537733812
2703719450 2706781307 2706783419
2534682040 2536405616 2536407916
2548876617 2549181343 2549183210
2548876568 2549087528 2549089413
2531839085 2532180363 2532182740
2636416115 2639373371 2639375733
2667527727 2669225211 2669227384
2675903616 2678634964 2678637106
2713897039 2715273295 2715275538
2700989202 2701699418 2701701448
2671180594 2673401854 2673403843
2724679497 2727041537 2727043661
2708742300 2708742300 2708744322
2534682249 2537129030 2537131119
2724679505 2727059067 2727061153
2700989313 2702129430 2702131470
2548876574 2549098534 2549100380
2706794403 2706800591 2706802833
2537562227 2540261167 2540263272
2703718724 2704154503 2704156569
2667527650 2668933320 2668935509
2548876511 2548909542 2548911639
2706794419 2706833499 2706835419
2548876628 2549204734 2549207193
2667527660 2668969409 2668971481
2681813197 2683263783 2683265834
2695420384 2695764796 2695766856
2529293229 2531677377 2531679444
2684622745 2685531172 2685533564
2675903274 2677325944 2677328069
2671180949 2674867455 2674869393
2690315816 2691188025 2691190130
2695420479 2696167045 2696169105
2667527670 2669001518 2669003691
2663762981 2665175208 2665177270
2695420674 2697013034 2697015090
2700989192 2701663816 2701666029
2703718706 2704117891 2704119938
2548876652 2549258763 2549260973
2657245688 2659968451 2659970522
2645727566 2646012635 2646014361
2698536586 2699691206 2699693289
2541047594 2543548051 2543550230
2529293175 2531484784 2531486832
2534682113 2536635871 2536637988
2671180507 2673059343 2673061321
2728368963 2728609455 2728611668
2675903426 2677922790 2677924867
2548876551 2549056670 2549058481
2671180706 2673871233 2673873330
2534682316 2537354045 2537356122
2684622518 2684691757 2684693546
2703718735 2704176805 2704178808
2671180644 2673607687 2673609739
2693429747 2694477170 2694479337
2675903292 2677385638 2677387849
2657244941 2657460593 2657462798
2690316031 2691967722 2691969927
2728368953 2728587909 2728590110
2671180765 2674108604 2674110512
2681813075 2682766863 2682768917
2681813334 2683819391 2683821644
2558860371 2559667444 2559669668
2529293129 2531309626 2531311751
2703719438 2706756070 2706757991
2703718976 2705223523 2705225937
2657245572 2659516618 2659518675
2698536617 2699808469 2699810452
2600254987 2600534680 2600536380
2548876537 2549030929 2549032721
2602041590 2602322668 2602324790
2534682155 2536761132 2536763224
2690316111 2692289803 2692291853
2698536585 2699689169 2699691205
2667527866 2669799993 2669802050
2695420541 2696446932 2696449113
2534682242 2537114118 2537116202
2645727720 2646681378 2646683499
2684623116 2686856597 2686858555
2713897006 2715201600 2715203720
2706794506 2707123518 2707125648
2690316124 2692341331 2692343402
2657244945 2657477785 2657479989
2534682150 2536750999 2536753014
2657244966 2657558653 2657560709
2534682312 2537343336 2537345370
2724679179 2725769210 2725771759
2663762616 2663825552 2663827566
2636415680 2637552480 2637554156
2531839173 2532500866 2532503089
2537562028 2539563492 2539565906
2706794501 2707113097 2707115172
2534682319 2537360391 2537362510
2558860321 2559525802 2559527714
2651870306 2654351638 2654353508
2537561982 2539380183 2539382549
2600255049 2600725034 2600727067
2537562077 2539724967 2539727311
2713897016 2715223261 2715225413
2703718978 2705228101 2705230053
2700989292 2702054583 2702056643
2660238481 2662554429 2662556608
2671180561 2673277077 2673279287
2537562233 2540277611 2540279962
2548876896 2550265348 2550267490
2667527942 2670110405 2670112484
2663763066 2665504253 2665506132
2534681686 2535044084 2535046098
2675903383 2677748541 2677750632
2663763504 2667303059 2667305259
2537561967 2539308960 2539310906
2700989333 2702197478 2702199564
2675903526 2678303500 2678305579
2684622794 2685694695 2685696698
2548876564 2549080316 2549082118
2531839699 2534505817 2534508232
2703718727 2704160641 2704162640
2548876892 2550256728 2550258812
2700989287 2702044437 2702046421
2548876647 2549247616 2549249737
2663763279 2666381392 2666383608
2619619227 2621026554 2621028655
2681813071 2682758300 2682760515
2713896749 2714080843 2714082944
2558860345 2559572906 2559574841
2657245073 2657980779 2657982836
2684622768 2685622111 2685623923
2721755519 2722863014 2722865138
2703718618 2703757514 2703759501
2671181156 2675744318 2675746305
2534682144 2536737027 2536738994
